count,local_dummy,minuto,name,numero,posicion
1,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>38'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/139423/german-berterame"">
<img alt=""Germán Berterame"" onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/139423/139423.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/139423/139423.jpg""/>
</a>
</div>","<strong class=""numero"">#7 </strong>","<span class=""posicion"">Delantero</span>"
1,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>90'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150634/andres-vombergar"">
<img alt=""Andrés Vombergar"" onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150634/150634.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150634/150634.jpg""/>
</a>
</div>","<strong class=""numero"">#18 </strong>","<span class=""posicion"">Delantero</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/117983/marcelo-alberto-barovero"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/117983/117983.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/117983/117983.jpg""/>
</a>
</div>","<strong class=""numero"">
<span class=""posicionJ guantes""> </span> 
                                                    
                                                    #1
                                                </strong>","<span class=""posicion"">Portero</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/103973/jesus-fernando-pinuelas-sandoval"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/103973/103973.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/103973/103973.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #3
                                                </strong>","<span class=""posicion"">Defensa</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150629/leonardo-henriques-coelho"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150629/150629.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150629/150629.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #4
                                                </strong>","<span class=""posicion"">Defensa</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/132518/unai-bilbao-arteta"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/132518/132518.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/132518/132518.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #20
                                                </strong>","<span class=""posicion"">Defensa</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/62586/emmanuel-garcia-vaca"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/62586/62586.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/62586/62586.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #29
                                                </strong>","<span class=""posicion"">Defensa Lateral</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/71027/ricardo-chavez-soto"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/71027/71027.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/71027/71027.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #5
                                                </strong>","<span class=""posicion"">Medio</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150628/juan-manuel-sanabria-magole"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150628/150628.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150628/150628.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #8
                                                </strong>","<span class=""posicion"">Medio</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/145927/facundo-federico-waller-martiarena"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/145927/145927.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/145927/145927.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #15
                                                </strong>","<span class=""posicion"">Medio</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/58245/javier-güemez-lopez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/58245/58245.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/58245/58245.jpg""/>
</a>
</div>","<strong class=""numero"">
<span class=""posicionJ capitan""> </span> 
                                                    #16
                                                </strong>","<span class=""posicion"">Medio Defensivo</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/139423/german-berterame"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/139423/139423.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/139423/139423.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #7
                                                </strong>","<span class=""posicion"">Delantero</span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/137151/adam-fernando-bareiro-gamarra"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/137151/137151.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/137151/137151.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #9
                                                </strong>","<span class=""posicion"">Delantero</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/95382/andres-eduardo-sanchez-rodriguez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/95382/95382.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/95382/95382.jpg""/>
</a>
</div>","<strong class=""numero"">
<span class=""posicionJ guantes""> </span> 
                                                    
                                                    #24
                                                </strong>","<span class=""posicion"">Portero</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/98989/jose-rivaldo-lozano-silva"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/98989/98989.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/98989/98989.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #17
                                                </strong>","<span class=""posicion"">Defensa Lateral</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/72854/juan-david-castro-ruiz"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/72854/72854.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/72854/72854.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #2
                                                </strong>","<span class=""posicion"">Medio</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/92460/william-sergio-mejia-castillo"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/92460/92460.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/92460/92460.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #6
                                                </strong>","<span class=""posicion"">Medio</span>"
